price,model_year,milage,brand,model,fuel_type,accident,clean_title,transmission_group,engine_liters,engine_cylinders,ext_color_group,int_color_group
10300.0,2013,51000.0,Ford,Utility Police Interceptor Base,E85 Flex Fuel,At least 1 accident or damage reported,Yes,Automatic,3.7,6.0,Black,Black
38005.0,2021,34742.0,Hyundai,Palisade SEL,Gasoline,At least 1 accident or damage reported,Yes,Automatic,3.8,6.0,Other,Gray
54598.0,2022,22372.0,Lexus,RX 350 RX 350,Gasoline,None reported,Unknown,Automatic,3.5,6.0,Blue,Black
15500.0,2015,88900.0,INFINITI,Q50 Hybrid Sport,Hybrid,None reported,Yes,Automatic,3.5,6.0,Black,Black
34999.0,2021,9835.0,Audi,Q3 45 S line Premium Plus,Gasoline,None reported,Unknown,Automatic,2.0,4.0,White,Black
14798.0,2016,136397.0,Acura,ILX 2.4L,Gasoline,None reported,Unknown,Other,2.4,6.0,Silver,Black
31000.0,2017,84000.0,Audi,S3 2.0T Premium Plus,Gasoline,None reported,Yes,Automatic,2.0,4.0,Blue,Black
7300.0,2001,242000.0,BMW,740 iL,Gasoline,None reported,Yes,Automatic,4.4,8.0,Green,Green
41927.0,2021,23436.0,Lexus,RC 350 F Sport,Gasoline,None reported,Yes,Automatic,3.5,6.0,Black,Black
69950.0,2020,34000.0,Tesla,Model X Long Range Plus,Unknown,None reported,Yes,Automatic,3.5,6.0,Black,Black
73897.0,2021,27608.0,Land,Rover Range Rover Sport 3.0 Supercharged HST,Gasoline,None reported,Unknown,Automatic,3.5,6.0,White,Black
184606.0,2019,22770.0,Aston,Martin DBS Superleggera,Gasoline,None reported,Yes,Automatic,5.2,12.0,Silver,Black
53500.0,2021,12500.0,Toyota,Supra 3.0 Premium,Gasoline,None reported,Yes,Automatic,3.0,6.0,Yellow,Black
62000.0,2022,18196.0,Lincoln,Aviator Reserve AWD,Gasoline,None reported,Yes,Other,3.0,6.0,Black,Brown
47998.0,2020,15903.0,Jaguar,F-TYPE,Gasoline,None reported,Unknown,Automatic,2.0,6.0,Silver,Black
29990.0,2013,79800.0,Land,Rover LR4 HSE,Gasoline,None reported,Yes,Automatic,5.0,8.0,White,Black
250000.0,2021,1685.0,Mercedes-Benz,Metris Base,Gasoline,None reported,Yes,Automatic,2.0,4.0,Gray,White
16800.0,2013,61074.0,Dodge,Challenger SXT,Gasoline,None reported,Yes,Automatic,3.6,6.0,Black,Gray
