brand,model,model_year,milage,fuel_type,engine_liters,engine_cylinders,transmission_group,ext_color_group,int_color_group,accident,clean_title
Ford,Utility Police Interceptor Base,2013,51000.0,E85 Flex Fuel,3.7,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Hyundai,Palisade SEL,2021,34742.0,Gasoline,3.8,6.0,Automatic,Other,Gray,At least 1 accident or damage reported,Yes
Lexus,RX 350 RX 350,2022,22372.0,Gasoline,3.5,6.0,Automatic,Blue,Black,None reported,Unknown
INFINITI,Q50 Hybrid Sport,2015,88900.0,Hybrid,3.5,6.0,Automatic,Black,Black,None reported,Yes
Audi,Q3 45 S line Premium Plus,2021,9835.0,Gasoline,2.0,4.0,Automatic,White,Black,None reported,Unknown
Acura,ILX 2.4L,2016,136397.0,Gasoline,2.4,6.0,Other,Silver,Black,None reported,Unknown
Audi,S3 2.0T Premium Plus,2017,84000.0,Gasoline,2.0,4.0,Automatic,Blue,Black,None reported,Yes
BMW,740 iL,2001,242000.0,Gasoline,4.4,8.0,Automatic,Green,Green,None reported,Yes
Lexus,RC 350 F Sport,2021,23436.0,Gasoline,3.5,6.0,Automatic,Black,Black,None reported,Yes
Tesla,Model X Long Range Plus,2020,34000.0,Unknown,3.5,6.0,Automatic,Black,Black,None reported,Yes
Land,Rover Range Rover Sport 3.0 Supercharged HST,2021,27608.0,Gasoline,3.5,6.0,Automatic,White,Black,None reported,Unknown
Aston,Martin DBS Superleggera,2019,22770.0,Gasoline,5.2,12.0,Automatic,Silver,Black,None reported,Yes
Toyota,Supra 3.0 Premium,2021,12500.0,Gasoline,3.0,6.0,Automatic,Yellow,Black,None reported,Yes
Lincoln,Aviator Reserve AWD,2022,18196.0,Gasoline,3.0,6.0,Other,Black,Brown,None reported,Yes
Jaguar,F-TYPE,2020,15903.0,Gasoline,2.0,6.0,Automatic,Silver,Black,None reported,Unknown
Land,Rover LR4 HSE,2013,79800.0,Gasoline,5.0,8.0,Automatic,White,Black,None reported,Yes
Mercedes-Benz,Metris Base,2021,1685.0,Gasoline,2.0,4.0,Automatic,Gray,White,None reported,Yes
Dodge,Challenger SXT,2013,61074.0,Gasoline,3.6,6.0,Automatic,Black,Gray,None reported,Yes
Nissan,350Z Enthusiast,2003,74000.0,Gasoline,3.5,6.0,Manual,Purple,Other,None reported,Yes
Jaguar,F-TYPE R,2018,35250.0,Gasoline,5.0,8.0,Automatic,Green,Black,None reported,Yes
Genesis,GV70 3.5T Sport,2023,5400.0,Gasoline,3.5,6.0,Automatic,Green,Beige,Unknown,Unknown
Chevrolet,S-10 LS,2000,133510.0,E85 Flex Fuel,2.2,4.0,Automatic,Blue,Black,None reported,Yes
BMW,440 Gran Coupe 440i xDrive,2020,25990.0,Gasoline,3.0,6.0,Automatic,White,Beige,None reported,Unknown
Ford,F-150 XLT,2023,2823.0,Gasoline,3.5,6.0,Automatic,Silver,Black,None reported,Yes
Chevrolet,Suburban RST,2021,52000.0,Gasoline,5.3,8.0,Automatic,Blue,Black,None reported,Yes
Hyundai,Elantra N Base,2022,11650.0,Gasoline,2.0,4.0,Other,Black,Black,None reported,Yes
Nissan,Sentra SR,2016,96541.0,Gasoline,1.8,6.0,Automatic,Blue,Black,None reported,Unknown
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,17500.0,Gasoline,2.0,4.0,Automatic,Gray,Black,None reported,Yes
BMW,650 Gran Coupe i xDrive,2015,69000.0,Gasoline,4.4,8.0,Automatic,Gray,Black,None reported,Yes
Audi,Q5 2.0T Premium Plus,2017,81880.0,E85 Flex Fuel,2.0,4.0,Automatic,Black,Black,None reported,Yes
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,28800.0,Gasoline,3.0,6.0,Automatic,Silver,Black,None reported,Yes
Dodge,Ram 1500 Laramie Mega Cab,2006,300183.0,Gasoline,5.7,8.0,Automatic,Silver,Gray,At least 1 accident or damage reported,Yes
BMW,i3 120Ah w/Range Extender,2020,35035.0,Hybrid,3.5,6.0,Automatic,Black,Black,None reported,Unknown
Kia,Sorento SX,2011,171000.0,Gasoline,3.5,6.0,Automatic,Black,Black,None reported,Yes
Lexus,LX 570 Base,2016,118700.0,Gasoline,5.7,8.0,Automatic,Black,Beige,None reported,Yes
Jeep,New Compass Trailhawk,2017,119000.0,Gasoline,2.4,4.0,Automatic,Red,Black,None reported,Yes
BMW,340 i,2018,44261.0,Gasoline,3.0,6.0,Automatic,Gray,Black,None reported,Unknown
Audi,A4 2.0T Premium Plus quattro,2012,125575.0,Gasoline,2.0,4.0,Automatic,Silver,Black,None reported,Yes
Hyundai,Tucson SE,2007,16200.0,Gasoline,2.7,6.0,Automatic,Beige,Beige,None reported,Yes
BMW,Z4 sDrive28i,2014,70000.0,Gasoline,2.0,4.0,Automatic,White,Beige,At least 1 accident or damage reported,Yes
Bentley,Continental GTC Base,2011,20200.0,E85 Flex Fuel,6.0,12.0,Automatic,Black,Black,None reported,Yes
Honda,Passport Elite,2023,2978.0,Gasoline,3.5,6.0,Automatic,Silver,Gray,None reported,Unknown
Dodge,Sprinter 2500,2007,189719.0,Diesel,3.0,6.0,Automatic,White,Gray,At least 1 accident or damage reported,Yes
BMW,M850 i xDrive,2019,9949.0,Gasoline,4.4,6.0,Automatic,Blue,Black,None reported,Unknown
Lucid,Air Grand Touring,2022,3552.0,Unknown,3.5,6.0,Automatic,Red,Beige,None reported,Yes
Audi,A7 Premium,2012,54000.0,Gasoline,3.0,6.0,Automatic,Black,Brown,At least 1 accident or damage reported,Yes
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51351.0,Gasoline,5.3,8.0,Automatic,Black,Black,None reported,Yes
MINI,Convertible John Cooper Works,2017,24280.0,Gasoline,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Toyota,Avalon Touring,2016,89148.0,Gasoline,3.5,6.0,Automatic,Black,Black,None reported,Yes
Porsche,Cayenne Platinum Edition,2017,73043.0,Gasoline,3.6,6.0,Automatic,White,Black,None reported,Yes
Mercedes-Benz,AMG C 63 S,2017,60000.0,Gasoline,4.0,8.0,Other,Gray,Black,At least 1 accident or damage reported,Yes
Honda,CR-V EX-L,2016,73549.0,Gasoline,2.4,4.0,CVT,Other,Black,At least 1 accident or damage reported,Unknown
Hummer,H2 Base,2005,110900.0,Gasoline,6.0,8.0,Automatic,Gray,Black,None reported,Yes
Porsche,911 Carrera S,2013,39000.0,Gasoline,3.8,6.0,Automatic,Blue,Black,None reported,Yes
Mercedes-Benz,CLA-Class CLA 250,2016,120000.0,Gasoline,2.0,4.0,Other,Black,Black,None reported,Yes
Chrysler,300 Touring,2009,134602.0,Gasoline,3.5,6.0,Other,Blue,Black,None reported,Yes
Nissan,Rogue SV,2023,1094.0,Gasoline,1.5,3.0,CVT,Blue,Gray,None reported,Unknown
Audi,A3 2.0T,2010,83500.0,Gasoline,2.0,4.0,Other,Silver,Black,None reported,Yes
Ford,Mustang GT Premium,2014,37060.0,Gasoline,5.0,8.0,Manual,Black,Black,None reported,Yes
Acura,RL Technology,2010,97700.0,Gasoline,3.7,6.0,Other,Blue,Beige,None reported,Yes
Volvo,XC90 Hybrid T8 R-Design,2018,40000.0,Plug-In Hybrid,2.0,4.0,Other,Black,Black,None reported,Yes
Audi,R8 5.2 V10,2018,8940.0,Gasoline,5.2,10.0,Automatic,Red,Black,None reported,Unknown
Mercedes-Benz,GLK-Class GLK 350,2014,186000.0,Gasoline,3.5,6.0,Automatic,Black,Beige,At least 1 accident or damage reported,Yes
Toyota,C-HR LE,2021,13180.0,Gasoline,2.0,6.0,CVT,Other,Other,None reported,Unknown
Lexus,IS 350 Base,2014,104000.0,Gasoline,3.5,6.0,Automatic,Black,Black,None reported,Yes
BMW,X4 M40i,2023,8500.0,Hybrid,3.0,6.0,Other,Gray,Beige,None reported,Yes
BMW,M4 CS,2019,19069.0,Gasoline,3.0,6.0,Automatic,White,Other,None reported,Unknown
Cadillac,CT5 Premium Luxury,2023,6090.0,Gasoline,2.0,4.0,Automatic,White,Beige,None reported,Yes
Lucid,Air Grand Touring,2022,4900.0,Unknown,3.5,6.0,Automatic,Red,Black,None reported,Yes
Audi,A5 2.0T Premium Plus,2019,47523.0,Gasoline,2.0,4.0,Other,Black,Black,None reported,Yes
Chrysler,300C SRT8,2006,43000.0,Gasoline,6.1,8.0,Automatic,Silver,Black,At least 1 accident or damage reported,Yes
Bentley,Continental GT W12,2017,14684.0,Gasoline,6.0,12.0,Automatic,White,White,None reported,Yes
BMW,M4 Base,2019,57800.0,Gasoline,3.0,6.0,Other,Black,Red,None reported,Yes
Toyota,GR Corolla Circuit Edition,2023,952.0,Gasoline,1.6,3.0,Manual,Silver,Gray,None reported,Yes
Audi,RS 5 2.9T,2019,21240.0,Gasoline,2.9,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes
Porsche,Cayenne Base,2019,59338.0,Gasoline,3.0,6.0,Other,Black,Black,None reported,Yes
Lamborghini,Huracan Tecnica Coupe,2023,255.0,Gasoline,5.2,6.0,Automatic,Other,Other,None reported,Unknown
Maserati,Quattroporte S,2019,23230.0,Gasoline,3.0,6.0,Automatic,Black,Black,None reported,Yes
Jaguar,XF 35t R-Sport,2017,48000.0,Gasoline,3.0,6.0,Automatic,Red,Black,At least 1 accident or damage reported,Yes
Lexus,ES 330 Base,2005,41059.0,Gasoline,3.3,6.0,Automatic,White,Beige,None reported,Yes
Land,Rover Discovery Sport SE R-Dynamic,2020,21240.0,Gasoline,2.0,6.0,Automatic,White,Black,None reported,Unknown
Porsche,Cayman GTS,2015,11500.0,Gasoline,3.4,6.0,Automatic,Silver,Other,None reported,Yes
